assists_by,assists_for,match_id,minutes_played,num_assists,num_goals,num_nutmegs,opponent,season_id
{},{},9642.0,90.0,0.0,0.0,2.0,Atlético Madrid,1.0
{},{},9774.0,90.0,0.0,1.0,0.0,Deportivo Alavés,1.0
{},{'José Paulo Bezzera Maciel Júnior': 1},9602.0,90.0,1.0,0.0,1.0,Getafe,1.0
{},{},9948.0,24.0,0.0,0.0,0.0,Real Sociedad,1.0
{},{},9682.0,90.0,0.0,0.0,1.0,Leganés,1.0
"{'Francisco Alcácer García': 1, 'Jordi Alba Ramos': 1}",{},9581.0,90.0,0.0,2.0,2.0,Deportivo Alavés,1.0
{},{'Luis Alberto Suárez Díaz': 1},9726.0,90.0,1.0,0.0,1.0,Deportivo La Coruna,1.0
{},{'Luis Alberto Suárez Díaz': 1},9754.0,90.0,1.0,1.0,0.0,Real Sociedad,1.0
{},{},9889.0,31.0,0.0,0.0,0.0,Celta Vigo,1.0
{'Neymar da Silva Santos Junior': 1},{'Luis Alberto Suárez Díaz': 1},266989.0,90.0,1.0,1.0,0.0,Sevilla,2.0
"{'Sergio Busquets i Burgos': 1, 'Jordi Alba Ramos': 1}",{},266357.0,90.0,0.0,2.0,1.0,Osasuna,2.0
"{'Ivan Rakitić': 1, 'Jordi Alba Ramos': 1}",{},267569.0,90.0,0.0,2.0,0.0,Real Madrid,2.0
{'Luis Alberto Suárez Díaz': 1},{'Luis Alberto Suárez Díaz': 1},267212.0,90.0,1.0,2.0,0.0,Leganés,2.0
{},{},266669.0,31.0,0.0,0.0,0.0,Deportivo Alavés,2.0
{},{},266892.0,90.0,0.0,0.0,0.0,Athletic Club,2.0
{},{},267220.0,90.0,0.0,0.0,0.0,Atlético Madrid,2.0
{'Sergi Roberto Carnicer': 1},{'Luis Alberto Suárez Díaz': 1},267670.0,90.0,1.0,2.0,0.0,Real Betis,2.0
{},{'Luis Alberto Suárez Díaz': 1},266516.0,90.0,1.0,0.0,3.0,Real Betis,2.0
{},{},267039.0,90.0,0.0,0.0,0.0,Las Palmas,2.0
{},{},266477.0,90.0,0.0,1.0,1.0,Villarreal,2.0
{'Ivan Rakitić': 1},{},267101.0,90.0,0.0,2.0,0.0,Osasuna,2.0
{'Javier Alejandro Mascherano': 1},{},266440.0,90.0,0.0,2.0,0.0,Valencia,2.0
{'Ivan Rakitić': 1},{},266033.0,90.0,0.0,2.0,0.0,Valencia,2.0
{},{},267660.0,90.0,0.0,0.0,0.0,Deportivo La Coruna,2.0
{},{},266273.0,90.0,0.0,1.0,0.0,Deportivo Alavés,2.0
{},{},267395.0,90.0,0.0,1.0,0.0,Las Palmas,2.0
{},{},266874.0,90.0,0.0,1.0,0.0,Athletic Club,2.0
{'Luis Alberto Suárez Díaz': 1},{},266731.0,90.0,0.0,1.0,0.0,Eibar,2.0
{'Luis Alberto Suárez Díaz': 1},{},266528.0,90.0,0.0,1.0,1.0,Espanyol,2.0
{'Luis Alberto Suárez Díaz': 1},{},266280.0,90.0,0.0,2.0,1.0,Sevilla,2.0
{},{},267432.0,90.0,0.0,2.0,1.0,Eibar,2.0
{},{},267076.0,90.0,0.0,0.0,0.0,Real Madrid,2.0
{},{},267590.0,90.0,0.0,0.0,0.0,Málaga,2.0
{'Luis Alberto Suárez Díaz': 1},{'Francisco Alcácer García': 1},267373.0,90.0,1.0,2.0,0.0,Real Sociedad,2.0
{},{'Ivan Rakitić': 1},267077.0,90.0,1.0,0.0,1.0,Espanyol,2.0
{'Sergio Busquets i Burgos': 1},{},266952.0,90.0,0.0,2.0,0.0,Villarreal,2.0
{},{},267464.0,90.0,0.0,1.0,0.0,Atlético Madrid,2.0
"{'Rafael Alcântara do Nascimento': 1, 'Sergio Busquets i Burgos': 1}","{'Samuel Yves Umtiti': 1, 'Neymar da Silva Santos Junior': 1}",266299.0,90.0,2.0,2.0,0.0,Celta Vigo,2.0
{'Neymar da Silva Santos Junior': 1},{},266191.0,90.0,0.0,1.0,2.0,Real Sociedad,2.0
{'Javier Alejandro Mascherano': 1},{'Francisco Alcácer García': 1},265952.0,90.0,1.0,1.0,0.0,Sporting Gijón,2.0
{'Neymar da Silva Santos Junior': 1},{},267492.0,36.0,0.0,1.0,0.0,Deportivo La Coruna,2.0
{'Luis Alberto Suárez Díaz': 1},{},267596.0,90.0,0.0,2.0,0.0,Leganés,2.0
{},{},267058.0,90.0,0.0,0.0,1.0,Granada,2.0
{'Arda Turan': 1},"{'Neymar da Silva Santos Junior': 2, 'Munir El Haddadi Mohamed': 1}",266498.0,90.0,3.0,1.0,0.0,Getafe,27.0
{},"{'Luis Alberto Suárez Díaz': 1, 'Ivan Rakitić': 1}",266986.0,90.0,2.0,0.0,0.0,Real Betis,27.0
{},{},267533.0,90.0,0.0,0.0,0.0,Real Madrid,27.0
{'Luis Alberto Suárez Díaz': 1},{'Luis Alberto Suárez Díaz': 2},266310.0,90.0,2.0,1.0,0.0,Deportivo La Coruna,27.0
{'Jordi Alba Ramos': 1},{},267576.0,90.0,0.0,1.0,0.0,Atlético Madrid,27.0
"{'Sergio Busquets i Burgos': 1, 'Neymar da Silva Santos Junior': 1}",{},266653.0,90.0,0.0,3.0,0.0,Rayo Vallecano,27.0
{},{'Luis Alberto Suárez Díaz': 1},265944.0,90.0,1.0,1.0,0.0,Sporting Gijón,27.0
{'Adriano Correia Claro': 1},{},265894.0,90.0,0.0,1.0,0.0,Málaga,27.0
{},{'Luis Alberto Suárez Díaz': 1},265958.0,90.0,1.0,1.0,1.0,Espanyol,27.0
{},{},267611.0,90.0,0.0,0.0,0.0,Las Palmas,27.0
{},{},267422.0,90.0,0.0,0.0,0.0,Málaga,27.0
{},{},266236.0,90.0,0.0,0.0,2.0,Athletic Club,27.0
{},{'Luis Alberto Suárez Díaz': 1},267274.0,90.0,1.0,0.0,0.0,Valencia,27.0
{},{'Ivan Rakitić': 1},266961.0,90.0,1.0,1.0,0.0,Deportivo La Coruna,27.0
{'Neymar da Silva Santos Junior': 1},{},266885.0,90.0,0.0,1.0,0.0,Real Sociedad,27.0
{'Luis Alberto Suárez Díaz': 2},{},266815.0,90.0,0.0,2.0,0.0,Sporting Gijón,27.0
{},{},267506.0,90.0,0.0,0.0,0.0,Granada,27.0
{},{},266664.0,90.0,0.0,0.0,0.0,Real Sociedad,27.0
{},{},266106.0,90.0,0.0,0.0,0.0,Villarreal,27.0
{},{},266670.0,90.0,0.0,0.0,0.0,Espanyol,27.0
